The monthly and annual values of the modulation parameter (in MV) reconstructed from the ground based cosmic
ray data, using the the procedure described in Refs.(1 and 2).
Data for the period 06/1936 - 04/1951 were taken from the pseudo-Climax NM count rate (ref. 3),
and since 05/1951 onwards - from the world NM network (Ref.1 and 2).
Local Interstellar spectrum (LIS) corresponds to Ref. (4)

References:
[1] Usoskin, I.G., K. Alanko-Huotari, G.A. Kovaltsov, and K. Mursula, Heliospheric modulation of cosmic rays:
    Monthly reconstruction for 1951-2004, J. Geophys. Res., 110, A12108, 2005 (doi:10.1029/2005JA011250).
[2] Usoskin, I. G., G. A. Bazilevskaya, and G. A. Kovaltsov, Solar modulation parameter for cosmic rays since
    1936 reconstructed from ground-based neutron monitors and ionization chambers, J. Geophys. Res., 116, 2011
    (doi:10.1029/2010JA016105).
[3] McCracken, K.G., and J. Beer, Long-term changes in the cosmic ray intensity at Earth, 1428-2005, J. Geophys.
    Res., 112, A10101, 2007 (doi:10.1029/2006JA012117).
[4] Burger, R. A., M. S. Potgieter, and B. Heber (2000), Rigidity dependence of cosmic ray proton latitudinal 
    gradients measured by the Ulysses spacecraft: Implication for the diffusion tensor, J. Geophys. Res., 105, 27,447. 
						

Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec  Annual
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++													
1936    -     -     -     -     -     -    252   242   260   271   290   363   279
1937   401   451   516   550   546   662   557   588   546   553   492   496   528
1938   716   696   560   650   502   401   348   371   389   401   401   416   481
1939   416   509   506   599   632   509   422   345   389   389   295   303   438
1940   287   300   292   290   255   273   268   281   287   295   320   345   291
1941   389   342   371   354   323   287   303   271   309   268   273   311   316
1942   273   273   447   340   287   268   279   239   237   245   242   237   279
1943   250   255   258   271   268   271   306   309   314   292   279   273   279
1944   279   263   258   239   211   187   184   192   177   184   170   211   212
1945   250   250   334   340   258   258   255   245   234   229   242   245   261
1946   303   768   610   581   647   595   602   550   578   486   457   407   543
1947   432   413   560   685   658  1166   925  1031  1128  1001   911   827   788
1948   716   677   708   602   748   581   581   595   712   669   602   588   647
1949   696   677   613   632   585   539   486   522   479   599   526   486   568
1950   606   628   512   512   526   473   496   463   512   512   435   416   506
1951   492   647   631   618   555   510   553   587   523   514   535   513   562
1952   551   567   587   546   489   464   447   448   436   490   465   483   497
1953   515   497   506   500   500   482   495   488   483   469   472   453   488
1954   445   427   401   411   404   407   399   376   384   386   399   411   404
1955   462   413   409   409   399   406   405   417   400   429   425   476   420
